H1B,H1A,H2B,H2A,H3B,H3A,H4B,H4A,H6B,H7B,eDNA11
126196,147197,80224,151172,104510,147744,116829,130124,100704,42781,222880
0,0,0,462,0,0,0,0,0,0,3882
0,0,0,0,0,0,48,0,0,0,0
0,0,0,0,0,0,0,0,0,0,316
10,9,7,10,16,14,36701,20475,5,8,14
0,0,0,0,0,0,0,0,0,0,10868
0,0,0,0,0,0,133,0,0,0,0
0,0,0,0,0,0,1645,0,0,0,0
9,0,0,311,10,5,824,1244,0,0,64904
0,0,0,0,0,0,0,0,590,0,0
0,0,0,0,0,0,0,0,0,0,90
83327,78922,34679,117333,39318,119574,55571,81199,80283,85,44584
0,0,0,0,0,0,0,133,0,0,0
0,0,0,0,0,8,0,0,0,0,1048
0,0,1350,0,0,0,0,0,0,0,0
0,0,0,0,5193,706,0,0,0,0,8
185,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,719,0,0,0
0,7,0,0,0,0,0,0,0,0,0
0,0,0,0,12654,736,0,0,0,0,0
